Article_ID;Sentence;Compound;Date
1695;The discovery could also speed research on more complex grains such as corn and wheat.;0.0;2001-01-29 00:00:00
5244;the Commission spelt out its proposed strategy to respond to the tariffs.;0.0;2002-03-21 00:00:00
5462;it is satisfied that the         Commission's proposal for the wheat quota accepts Hungary's         demands to a large extent.;0.6249;2002-04-16 00:00:00
5983;The deal includes granting Hungary an         additional duty free tariff quota of 120.000 tons on wheat         and a new duty free quota of 450.000 tons for maize.;0.836;2002-06-14 00:00:00
8595;Commissioner Fischler said that such partial decoupling could be found in his proposal for supporting durum wheat.;0.4404;2003-04-10 00:00:00
8737;"Mr Brok said that the prop osals ""spelt the end of the Community method"".";0.0;2003-04-25 00:00:00
9535;butter and wheat will continue unabated.;0.0;2003-06-27 00:00:00
9994;such as wheat.;0.0;2003-08-26 00:00:00
9994;The loss in wheat production will be approximately 10 million tons compared to last year.;-0.3182;2003-08-26 00:00:00
10747;saying that growth expected to come from the introduction of hybrid wheat seeds had failed to materialise.;-0.1779;2003-10-17 00:00:00
13942;Blair has spelt out several international efforts the           UK should lead.;0.0;2004-09-15 00:00:00
15150;The i2010 objectives spelt out by Reding will be threefold: i2010 is set to become one of the Commissions new flagship programmes to support the new Lisbon strategy unveiled by President Barroso before Parliament on 2 February.;0.4767;2005-02-03 00:00:00
18921;Greenpeace said the WTO case should not be used to undermine existing international agreements on biosafety as spelt out in the Cartagena Protocol.;-0.0258;2006-02-08 00:00:00
20138;"as is the existing waste hierarchy which will ""by and large"" remain the same as originally spelt out in a 1975 directive.";-0.4215;2006-06-14 00:00:00
21533;which was spelt out on 5 November 2006.using instead the more carefulexpression noted.;0.0;2006-11-06 00:00:00
22264;These were not spelt out.;0.0;2007-01-24 00:00:00
24060;A combination of excessive rainin the north and heat waves and drought in the south have produced mixed results.with Romania (20.1% below average wheat yield) and Bulgaria (40% below average maize yield)among the most severly affected member states.;-0.2212;2007-07-25 00:00:00
24257;CommissionerFischer Boel recently commented on the increasesin dairy and wheat prices:Recent price developments are no more and no less than the market in action.;-0.5267;2007-09-06 00:00:00
24257;According to theOECD.FAO Agricultural Outlook 2007.2016. published inJuly 2007.temporary factors such as droughts in wheat.growing regions and low stocks explain in large measure the recent hikes in farm commodity prices.;-0.2732;2007-09-06 00:00:00
24350;Commissioner Fischer Boel recently commented on the increases in dairy and wheat prices: Recent price developments are no more and no less than the market in action.;-0.5267;2007-09-14 00:00:00
24671;the name of the currency is spelt euro instead of the Cyrillic evro version favoured by Bulgaria.;0.4215;2007-10-12 00:00:00
24730;            EurActiv.com             27/11/2016    wheat_field_isp_A%2EVitting.jpg wheat_field_isp_A%2EVitting.jpg A special farm aid scheme aimed at developing Europes energy crop sector will be scaled back.;0.5859;2007-10-18 00:00:00
26737;            EurActiv.com             27/11/2016    wheat_field_isp_A%2EVitting.jpg wheat_field_isp_A%2EVitting.jpg Soaring global food prices dominated a ministerial debate yesterday (19 May) on how Europes 45 billion farm subsidy scheme should be reformed.;0.0;2008-05-20 00:00:00
26947;Prices in Europe for wheat and dairy products increased by 96% and 30% respectively between September 2006 and February 2008.;0.5423;2008-06-04 00:00:00
27354;global wheat and maize stocks would not have declined appreciably and price increases due to other factors would have been moderate.;0.0;2008-07-04 00:00:00
27384;only 57.2% of women in the EU 27 were in employment in 2006. well below the goal of 60% spelt out in the EUs Lisbon Strategy for Growth and Jobs.;0.5719;2008-07-08 00:00:00
28260;says Rabobank Slow emergence leaves Ukrainian wheat crop vulnerable EU biofuels curbs would 'put quality feed supplies at risk' Sugar deficit phase to end in 2017.18. says ISO SocGen cautious on ag prices.;-0.7269;2008-10-09 00:00:00
28260;as Brazil's fade Palm oil prices hit four.year high after US lifts biodiesel target IGC sets scene for large wheat harvest in 2017 too                                             10.;0.0;2008-10-09 00:00:00
28260;hard wheat prices to gain from index rejig .;0.4588;2008-10-09 00:00:00
28260;says Goldman Sachs Hedge funds 'may have overreacted' in record wheat sell.down Traders flag three key tests to soy rally.;-0.4019;2008-10-09 00:00:00
28260;cocoa the worst Stricken wheat futures to stay weak .;-0.8834;2008-10-09 00:00:00
28260;but cotton price to revive Hedge funds' big bearish wheat bet spurs ideas of price support                                             10.;0.7684;2008-10-09 00:00:00
28260;sugar and wheat Cocoa futures jump despite sharp drop in Asia's grind Wheat soars.;0.2057;2008-10-09 00:00:00
28260;PM markets: wheat futures dodge bullet.;0.0;2008-10-09 00:00:00
30297;campaign spelt out in no uncertain terms the partys negative opinion of the centre.right Portugueses term as president.;-0.7964;2009-03-30 00:00:00
30319;45 million to milk producers in mountainous regions.eight million to producers of durum wheat in traditional areas and 4.6 million for breeding calves under the mother.;0.0;2009-03-31 00:00:00
30590;for example  many poorer countries reacted to 2008s spikes in food prices by slapping export bans on staple foods like rice and wheat.;0.0;2009-04-21 00:00:00
30781;Prices for mainstream varieties would fall by 7.4% to Can$276 a tonne with durum.;0.0;2009-05-01 00:00:00
30781;Total wheat production will drop by 9.5% to 25.9m tonnes.;-0.2732;2009-05-01 00:00:00
31102;Global wheat stocks will represent only 20.3% of demand in 2013.14. compared with 23.9% last year and nearly 32% in the late 1990s.;-0.128;2009-05-22 00:00:00
31102;By 2013.14. the world will harvest 661m tonnes of wheat.;0.0;2009-05-22 00:00:00
31148;The demands were spelt out in a to the Czech minister for industry and trade.;0.0;2009-05-27 00:00:00
31173;which should see the important winter wheat crop come in at 25.7m tonnes.;0.2023;2009-05-28 00:00:00
31173;have curbed hopes for wheat because of dry weather.;0.4215;2009-05-28 00:00:00
31265;4  Jun 2009. by Mike Verdin El Nino fears accelerate wheat revival Wheat prices accelerated their recovery on Thursday amid growing fears of drought in key producing areas after Australian forecasters warned that a return of the El Nino weather pattern was now odds on.;-0.7184;2009-06-04 00:00:00
31265;The alert came as Buenos Aires Grain Exchange blamed drought for a cut of 14% to its estimate of Argentine wheat plantings this year.;-0.4588;2009-06-04 00:00:00
31265;"""Continuing dry and cold weather in most of the wheat.growing area is slowing seeding or impeding it altogether.""";0.0;2009-06-04 00:00:00
31265;Australia is currently sowing wheat for the 2009.10 harvest.;0.0;2009-06-04 00:00:00
31265;the Buenos Aires Grain Exchange said that wheat plantings would come in at 3.2m hectares for 2009/10.;0.0;2009-06-04 00:00:00
31265;Opinion: beware of swinging wheat Late markets: crops suffer Bernanke blow  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;-0.4404;2009-06-04 00:00:00
31318;the USDA will cut its wheat stocks estimate for a year's time by 22m bushels to 605m bushels following reports of reduced hopes for crops in countries such as Argentina and Poland.;0.1779;2009-06-08 00:00:00
31342;Ukraine pain The forecast came as Ukraine said that it expected its wheat harvest to drop from 25.9m tonnes in 2008 to about 20m tonnes this year.;-0.6597;2009-06-09 00:00:00
31342;"The most important weather.related [wheat] yield factor is June and July precipitation.""";0.2716;2009-06-09 00:00:00
31342;Opinion: Russia's grain ambitions look serious Former Soviet states unite behind grain pool Trade slump swells Kazakh wheat inventories  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.0772;2009-06-09 00:00:00
31343;9  Jun 2009. by Mike Verdin Oklahoma mars bright start to US wheat harvest Oklahoma spoiled a bright start to the US winter wheat harvest.;0.7003;2009-06-09 00:00:00
31343;had combined more than one quarter of their winter wheat acres by last Sunday.;0.0;2009-06-09 00:00:00
31343;Dash to cash in The delay has frustrated farmers' attempts to cash in on wheat prices which.;-0.6908;2009-06-09 00:00:00
31343;"The $6 [a bushel] wheat price is not really applicable unless you can get it in the bin.""";0.0;2009-06-09 00:00:00
31343;Soybeans lag The USDA's weekly crop progress report also revealed delays to America's spring wheat crop.;0.1027;2009-06-09 00:00:00
31343;Planting of spring wheat.;0.0;2009-06-09 00:00:00
31343;Opinion: beware of swaying wheat Wheat prices poised for sharp falls bank warns US farmers behind on planting every major crop  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.296;2009-06-09 00:00:00
31344;"""Prospects for a large US soybean crop may have improved because delayed planting of corn and spring wheat will likely increase soybean acreage.""";0.6908;2009-06-09 00:00:00
31371;10  Jun 2009. by Agrimoney.com Wheat slips despite weaker EU harvest  he world is even more awash with wheat than had been thought despite damage wrought by dry weather tocrops in Canada.;0.6167;2009-06-10 00:00:00
31371;Global wheat stocks were.;0.0;2009-06-10 00:00:00
31371;The data sent July wheat down2.9% to $5.96  a bushel in Chicago.;0.0;2009-06-10 00:00:00
31371;"where ""unseasonably cool temperatures that have delayed spring wheat seeding and development across the Prairie Provinces"".";0.1027;2009-06-10 00:00:00
31371;Andfirmer wheat prices.;0.0;2009-06-10 00:00:00
31371;"""Higher projected prices are expected to limit the competitiveness of all but the lowest quality wheat in feed rations.""";-0.5267;2009-06-10 00:00:00
31371;US farmers would receive between $4.90 and $5.90 a bushel for wheat.;0.0;2009-06-10 00:00:00
31371;Oklahoma mars bright start to US wheat harvest Opinion: beware of swaying wheat  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.5423;2009-06-10 00:00:00
31396;which has been consolidating since the government announced last year's break.up of AWB's monopoly on the country's wheat exports.;0.0;2009-06-11 00:00:00
31397;11  Jun 2009. by Agrimoney.com Opinion: wheat's best hope may lie in inflation Wheat's best hope may lie with inflation.;0.9349;2009-06-11 00:00:00
31397;If wheat is going to movesignificantly higher.;0.0;2009-06-11 00:00:00
31397;demand for wheat was lower then.;-0.4019;2009-06-11 00:00:00
31397;wheat crops are looking best in countries such as Iran and Morocco which are normally big importers.;0.6369;2009-06-11 00:00:00
31397;And wheat.assuch an importantgrain.looks unlikely to miss out.;-0.1531;2009-06-11 00:00:00
31397;Indeed.Wednesday's USDAcrop reportjust about said as much.raising price forecasts for wheat on groundsthat itwillbepulled up byother food commodities.;0.0;2009-06-11 00:00:00
31397;But thatwill onlyget wheat so far.;0.0;2009-06-11 00:00:00
31397;The USDAstill thinks wheat farmers won't get more than $5.90 a bushel for this year's crop.;0.0;2009-06-11 00:00:00
31397;when wheat prices near.quintupled in less than two years as investors sought assets likely to keep abreast of price rises.;0.1779;2009-06-11 00:00:00
31397;But wheat investors mightsee some benefit if oil prices keep rising.;0.4588;2009-06-11 00:00:00
31422;the world's largest wheat and barley seller has said.;0.0;2009-06-12 00:00:00
31422;dragging down chill Arctic air  meant the development of wheat and barley crops was up to two weeks behind schedule.;0.0;2009-06-12 00:00:00
31422;Steeper declines The wheat harvest in the area covered by the report.;0.0;2009-06-12 00:00:00
31422;led by a 20% drop in production of durum.;-0.2732;2009-06-12 00:00:00
31422;whichforesaw a 9.5% drop in national wheat production and an 8.3% drop in Canada's barley harvest.;-0.4939;2009-06-12 00:00:00
31422;The US Department of Agriculture this week cut by 1.0m tonnes to 25.0m tonnes its forecastfor Canadian wheat production this summer.;-0.2732;2009-06-12 00:00:00
31447;15  Jun 2009. by Mike Verdin Egypt's wheat stocks enough to last out 2009 Egypt.;0.0;2009-06-15 00:00:00
31447;one of the world's biggest wheat importers.;0.0;2009-06-15 00:00:00
31447;has said it has enough wheat to last until the end of the year thanks to an acceleration in stockpiling.;0.4404;2009-06-15 00:00:00
31447;Egypt has 4.02m tonnes of strategic wheat reserves after buying in 2.83m tonnes during the current season.;0.0;2009-06-15 00:00:00
31447;Contamination claims Moscow and Cairo have been at loggerheads since  Egyptian authorities in May quarantined a shipment of 52.000 tonnes of Russian wheat on grounds of contamination with insects and weeds .;0.0;2009-06-15 00:00:00
31447;shipped in Russian wheat that failed to meet domestic specifications.;-0.5106;2009-06-15 00:00:00
31447;Egypt is the world's biggest wheat consumer.;0.0;2009-06-15 00:00:00
31447;Opinion: wheat's best hope may lie in inflation  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.8271;2009-06-15 00:00:00
31449;US official data showed wheatinventories at less than 1.92m tonnes a year ago.;0.0;2009-06-15 00:00:00
31449;The export price of fourth grade milling wheat for the forthcoming harvest had dropped to $190 a tonne.;0.0;2009-06-15 00:00:00
31449;Russia built up its inventory at an average price of $162 a tonne for fourth grade milling wheat and $118.2 a tonne for feed barley Capacity squeeze Although Russia's official forecast is for grain production of 90m tonnes this year.;0.0;2009-06-15 00:00:00
31475;after missing out on the hardships which afflicted deteriorating winter wheat.;-0.5719;2009-06-16 00:00:00
31475;Harvesting hiccup The spring wheat crop looks in even better health.;0.4404;2009-06-16 00:00:00
31475;That is a significant improvement on the record of winter wheat.;0.5859;2009-06-16 00:00:00
31476;16  Jun 2009. by Agrimoney.com Australia on course for bumper wheat harvest Australia is poised for its best wheat harvest in four years despite dry weather returning to hurt yields in the biggest producing state.;0.4215;2009-06-16 00:00:00
31476;despite a small drop in wheat sowings.;0.2057;2009-06-16 00:00:00
31476;Western Australia  which produced 42% of the country's 2008.09 wheat harvest.;0.0;2009-06-16 00:00:00
31476;Abare forecast Western Australia wheat yields would fall below state and national averages to 1.56 tonnes per hectare.;0.0;2009-06-16 00:00:00
31476;Opinion: wheat's best hope may lie in inflation Two.thirds of Australian grain barons in the red Australia's wheat exports leap 51%  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.8271;2009-06-16 00:00:00
31479;16  Jun 2009. by Mike Verdin India's plege to feed poor may dent wheat exports The Indian government's pledge to help the poor may delay the country's revival as a wheat exporter despite a near.record stockpile of 36m tonnes.;-0.7003;2009-06-16 00:00:00
31479;US officials in Delhi have halved to 1m tonnes their forecast for India's wheat exports in the current marketing year.;0.0;2009-06-16 00:00:00
31479;The country appears to have an abundance of wheat.;0.0;2009-06-16 00:00:00
31479;this season's wheat harvest is on track to produce 77.6m tonnes.;0.0;2009-06-16 00:00:00
31479;The delay to the decision may reflect a pre.election promise to provide every family below the poverty line with 25 kilogrammes of wheat or rice a month.;-0.5106;2009-06-16 00:00:00
31479;"on Monday that he was ""actively looking"" at whether to lift curbs on wheat and rice shipments.";0.3182;2009-06-16 00:00:00
31479;Opinion: wheat's best hope may lie in inflation India import mystery to unsettle sugar market  /* customize styles to your web.site */ .mp_releases_box {  border: solid #999999 1px.;0.8271;2009-06-16 00:00:00
31500;whichGlencore is tosupply with 1.2m tonnes of wheat a year.;0.0;2009-06-17 00:00:00
31501;Annual wheat production is.;0.0;2009-06-17 00:00:00
31502;17  Jun 2009. by Agrimoney.com Former Soviet bloc 'to tighten hold on wheat' The former Soviet states are to strengthen their grip on the growing global trade in wheat.;0.4588;2009-06-17 00:00:00
31502;"the former Soviet Union ""is expected to be the dominant source of wheat exports"" by the end of the report's forecast period in 2018.";0.0;2009-06-17 00:00:00
31502;which exported negligible amounts of wheat for much of its time under Communism.;0.0;2009-06-17 00:00:00
31502;overtaking the US at the top the wheat exporters' league.;0.2023;2009-06-17 00:00:00
31502;forecast that wheat prices would remain about 50% higher than their 1997.2006 levels over the next decade.;0.0;2009-06-17 00:00:00
31502;when Chicago wheat rose above $13 a bushel.;0.0;2009-06-17 00:00:00
31502;adding that it forecast a 2% annual rise in global wheat trading over the next 10 years.;0.0;2009-06-17 00:00:00
31530;"18  Jun 2009. by Mike Verdin EU's wheat outlook 'rather bearish' Sagging export demand has given a ""rather bearish"" hue to the European wheat market.";-0.128;2009-06-18 00:00:00
31530;Strategie Grains lowered its estimate for the 2009 European Union soft wheat crop by 2.6m tonnes to 126.3m tonnes.;-0.128;2009-06-18 00:00:00
31530;thanks to wheat's growing competitiveness with corn as an animal feed.;0.5574;2009-06-18 00:00:00
31530;Strategie Grains dashed hopes of a market squeeze by warning that exports were in for a 41% fall to 8.8m tonnes thanks to some major importersdoing better at meeting their own wheat requirements.;0.7351;2009-06-18 00:00:00
